CountryID,CityID,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
9,120,28,Good,0,Good,28,Good,2,Good,17,Good,-26.7986,153.1289
9,121,24,Good,0,Good,24,Good,1,Good,11,Good,-35.2931,149.1269
9,122,21,Good,0,Good,21,Good,8,Good,18,Good,-32.8342,151.3555
9,123,27,Good,0,Good,27,Good,0,Good,17,Good,-30.3022,153.1189
9,124,50,Good,1,Good,7,Good,17,Good,50,Good,-38.0996,145.2834
9,125,102,Unhealthy for Sensitive Groups,2,Good,58,Moderate,1,Good,102,Unhealthy for Sensitive Groups,-12.4381,130.8411
9,126,32,Good,0,Good,27,Good,0,Good,32,Good,-41.18,146.3503
9,127,15,Good,0,Good,15,Good,0,Good,13,Good,-32.2569,148.6011
9,128,24,Good,0,Good,11,Good,11,Good,24,Good,-34.5981,138.745
9,129,33,Good,0,Good,25,Good,1,Good,33,Good,-38.15,144.35
9,130,29,Good,0,Good,29,Good,0,Good,13,Good,-28.7744,114.6089
9,131,22,Good,0,Good,22,Good,0,Good,15,Good,-34.7547,149.6186
9,132,24,Good,0,Good,24,Good,0,Good,10,Good,-34.29,146.04
9,132,24,Good,0,Good,24,Good,0,Good,10,Good,41.5277,-87.4239
9,133,25,Good,0,Good,25,Good,3,Good,17,Good,-26.19,152.6655
9,134,36,Good,0,Good,36,Good,0,Good,17,Good,-25.29,152.84
9,135,48,Good,0,Good,24,Good,1,Good,48,Good,-42.8806,147.325
9,135,48,Good,0,Good,24,Good,1,Good,48,Good,41.514,-87.2729
9,135,48,Good,0,Good,24,Good,1,Good,48,Good,44.4967,-88.1602
9,136,26,Good,0,Good,25,Good,0,Good,26,Good,-17.5238,146.0311
9,137,22,Good,0,Good,22,Good,0,Good,9,Good,-20.7364,116.8464
9,138,18,Good,0,Good,18,Good,0,Good,11,Good,-14.4667,132.2667
9,139,33,Good,1,Good,15,Good,12,Good,33,Good,-34.6708,150.8542
9,140,27,Good,0,Good,27,Good,1,Good,23,Good,-32.2394,115.7702
9,141,29,Good,0,Good,29,Good,0,Good,12,Good,-41.4419,147.145
9,141,29,Good,0,Good,29,Good,0,Good,12,Good,50.637,-4.36
9,142,31,Good,0,Good,31,Good,2,Good,16,Good,-28.8167,153.2833
9,143,23,Good,0,Good,23,Good,1,Good,13,Good,-33.4833,150.15
9,144,29,Good,0,Good,29,Good,0,Good,15,Good,-21.1411,149.1858
9,145,31,Good,0,Good,31,Good,0,Good,10,Good,-25.5375,152.7019
9,145,31,Good,0,Good,31,Good,0,Good,10,Good,-37.05,143.735
9,146,57,Moderate,1,Good,2,Good,18,Good,57,Moderate,-37.6833,144.5833
9,147,27,Good,0,Good,25,Good,0,Good,27,Good,-34.1889,142.1583
9,148,17,Good,0,Good,14,Good,7,Good,17,Good,-38.2333,146.4
9,149,18,Good,0,Good,18,Good,0,Good,14,Good,-37.8294,140.7828
9,150,46,Good,0,Good,21,Good,0,Good,46,Good,-20.7261,139.4938
9,151,31,Good,0,Good,28,Good,0,Good,31,Good,-35.117,139.267
9,152,22,Good,0,Good,22,Good,3,Good,9,Good,-32.2654,150.8885
9,153,32,Good,0,Good,27,Good,2,Good,32,Good,-26.6269,152.9591
9,154,36,Good,1,Good,17,Good,7,Good,36,Good,-27.9956,153.322
9,155,48,Good,0,Good,9,Good,14,Good,48,Good,-27.7464,29.9328
9,155,48,Good,0,Good,9,Good,14,Good,48,Good,54.98,-1.61
9,155,48,Good,0,Good,9,Good,14,Good,48,Good,-32.9167,151.75
9,155,48,Good,0,Good,9,Good,14,Good,48,Good,47.5304,-122.1633
9,155,48,Good,0,Good,9,Good,14,Good,48,Good,35.2401,-97.5995
9,156,24,Good,0,Good,17,Good,3,Good,24,Good,-38.0712,145.4878
9,157,264,Very Unhealthy,9,Good,2,Good,17,Good,264,Very Unhealthy,53.35,-6.379
9,158,21,Good,0,Good,21,Good,0,Good,10,Good,-33.133,148.176
9,159,25,Good,0,Good,23,Good,1,Good,25,Good,-32.4925,137.7658
9,160,29,Good,0,Good,29,Good,0,Good,7,Good,-31.4333,152.9
9,161,20,Good,0,Good,20,Good,0,Good,19,Good,-33.1858,138.0169
9,162,18,Good,0,Good,18,Good,1,Good,17,Good,-35.3533,149.2342
9,163,24,Good,0,Good,24,Good,2,Good,10,Good,-32.7615,151.7441
9,164,25,Good,0,Good,25,Good,4,Good,13,Good,-23.3781,150.5136
9,165,18,Good,0,Good,18,Good,0,Good,11,Good,-20.7667,117.15
9,166,31,Good,0,Good,3,Good,13,Good,31,Good,-32.5667,151.1697
9,167,42,Good,0,Good,15,Good,14,Good,42,Good,-33.8678,151.21
9,168,23,Good,0,Good,23,Good,1,Good,12,Good,52.633,-1.695
9,168,23,Good,0,Good,23,Good,1,Good,12,Good,-31.0833,150.9167
9,169,32,Good,0,Good,22,Good,0,Good,32,Good,-31.9,152.45
9,170,22,Good,0,Good,22,Good,0,Good,7,Good,-27.5667,151.95
9,171,23,Good,0,Good,21,Good,1,Good,23,Good,-19.25,146.8167
9,172,16,Good,0,Good,15,Good,7,Good,16,Good,-38.1958,146.5403
9,173,19,Good,0,Good,15,Good,2,Good,19,Good,-35.1189,147.3689
9,174,15,Good,0,Good,15,Good,1,Good,15,Good,-36.3583,146.3125
9,175,27,Good,0,Good,27,Good,0,Good,20,Good,-38.3833,142.4833
9,176,31,Good,0,Good,25,Good,0,Good,31,Good,-33.0333,137.5667
9,177,25,Good,0,Good,25,Good,0,Good,11,Good,-36.1214,146.8881
9,178,24,Good,0,Good,24,Good,2,Good,19,Good,-34.4331,150.8831
9,179,23,Good,0,Good,23,Good,3,Good,11,Good,-23.1288,150.7444
10,180,50,Good,1,Good,33,Good,1,Good,50,Good,48.1167,14.8667
10,181,55,Moderate,1,Good,33,Good,1,Good,55,Moderate,48.2083,14.2889
10,182,68,Moderate,1,Good,34,Good,1,Good,68,Moderate,47.7115,13.6239
10,183,58,Moderate,1,Good,31,Good,2,Good,58,Moderate,48.0075,16.2344
10,183,58,Moderate,1,Good,31,Good,2,Good,58,Moderate,47.4667,8.3
10,184,26,Good,0,Good,26,Good,1,Good,17,Good,47.4172,13.2194
10,185,35,Good,1,Good,29,Good,1,Good,35,Good,47.1533,9.8219
10,186,41,Good,1,Good,30,Good,5,Good,41,Good,47.505,9.7492
10,187,67,Moderate,1,Good,25,Good,4,Good,67,Moderate,48.1667,12.8333
10,188,29,Good,1,Good,25,Good,3,Good,29,Good,47.4167,9.75
10,189,44,Good,1,Good,30,Good,1,Good,44,Good,47.85,16.5167
10,190,62,Moderate,1,Good,39,Good,1,Good,62,Moderate,48.2167,14.475
10,191,28,Good,0,Good,28,Good,0,Good,9,Good,46.7236,14.0919
10,192,58,Moderate,1,Good,37,Good,2,Good,58,Moderate,47.9181,13.7994
10,193,57,Moderate,1,Good,47,Good,0,Good,57,Moderate,47.0708,15.4386
10,194,32,Good,1,Good,32,Good,1,Good,11,Good,47.6667,13.0833
10,195,52,Moderate,1,Good,31,Good,2,Good,52,Moderate,47.4892,9.69
10,196,52,Moderate,1,Good,31,Good,2,Good,52,Moderate,47.3667,9.6667
10,197,66,Moderate,1,Good,40,Good,1,Good,66,Moderate,48.5667,16.0833
10,198,54,Moderate,1,Good,32,Good,1,Good,54,Moderate,47.2683,11.3933
10,199,61,Moderate,1,Good,36,Good,0,Good,61,Moderate,47.4394,15.2894
10,200,61,Moderate,1,Good,43,Good,0,Good,61,Moderate,46.6167,14.3
