Late-demographic dividend,LTE,GDP per capita (current US$),11465.85777
Lithuania,LTU,GDP per capita (current US$),23723.34025
Luxembourg,LUX,GDP per capita (current US$),133590.147
Latvia,LVA,GDP per capita (current US$),21148.16294
"Macao SAR, China",MAC,GDP per capita (current US$),43873.59116
St. Martin (French part),MAF,GDP per capita (current US$),
Morocco,MAR,GDP per capita (current US$),3795.380127
Monaco,MCO,GDP per capita (current US$),234315.4605
Moldova,MDA,GDP per capita (current US$),5230.661733
Madagascar,MDG,GDP per capita (current US$),500.511032
Maldives,MDV,GDP per capita (current US$),10366.29336
Middle East & North Africa,MEA,GDP per capita (current US$),7569.089437
Mexico,MEX,GDP per capita (current US$),10045.6805
Marshall Islands,MHL,GDP per capita (current US$),6172.145065
Middle income,MIC,GDP per capita (current US$),6074.084921
North Macedonia,MKD,GDP per capita (current US$),6694.641126
Mali,MLI,GDP per capita (current US$),873.7948624
Malta,MLT,GDP per capita (current US$),33486.67198
Myanmar,MMR,GDP per capita (current US$),1209.926942
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),3573.165173
Montenegro,MNE,GDP per capita (current US$),9465.703999
Mongolia,MNG,GDP per capita (current US$),4566.140154
Northern Mariana Islands,MNP,GDP per capita (current US$),
Mozambique,MOZ,GDP per capita (current US$),491.8391128
Mauritania,MRT,GDP per capita (current US$),2166.046799
Mauritius,MUS,GDP per capita (current US$),9106.237202
Malawi,MWI,GDP per capita (current US$),634.8356601
Malaysia,MYS,GDP per capita (current US$),11109.26184
North America,NAC,GDP per capita (current US$),68369.66279
Namibia,NAM,GDP per capita (current US$),4865.557765
New Caledonia,NCL,GDP per capita (current US$),37159.54677
Niger,NER,GDP per capita (current US$),590.6294548
Nigeria,NGA,GDP per capita (current US$),2065.749068
Nicaragua,NIC,GDP per capita (current US$),2045.535402
Netherlands,NLD,GDP per capita (current US$),57767.87881
Norway,NOR,GDP per capita (current US$),89154.27609
Nepal,NPL,GDP per capita (current US$),1208.218534
Nauru,NRU,GDP per capita (current US$),10648.14139
New Zealand,NZL,GDP per capita (current US$),48781.02663
OECD members,OED,GDP per capita (current US$),42446.85932
Oman,OMN,GDP per capita (current US$),19509.46646
Other small states,OSS,GDP per capita (current US$),13878.81484
Pakistan,PAK,GDP per capita (current US$),1505.010193
Panama,PAN,GDP per capita (current US$),14617.60448
Peru,PER,GDP per capita (current US$),6621.574336
Philippines,PHL,GDP per capita (current US$),3460.530963
Palau,PLW,GDP per capita (current US$),12083.88815
Papua New Guinea,PNG,GDP per capita (current US$),2672.94579
Poland,POL,GDP per capita (current US$),17999.90995
Pre-demographic dividend,PRE,GDP per capita (current US$),1418.593326
Puerto Rico,PRI,GDP per capita (current US$),32640.71034
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),
Portugal,PRT,GDP per capita (current US$),24567.50927
Paraguay,PRY,GDP per capita (current US$),5891.499965
West Bank and Gaza,PSE,GDP per capita (current US$),3663.969055
Pacific island small states,PSS,GDP per capita (current US$),3643.845437
Post-demographic dividend,PST,GDP per capita (current US$),49223.59503
French Polynesia,PYF,GDP per capita (current US$),19914.60351
Qatar,QAT,GDP per capita (current US$),66838.35743
Romania,ROU,GDP per capita (current US$),14858.22943
Russian Federation,RUS,GDP per capita (current US$),12194.77734
Rwanda,RWA,GDP per capita (current US$),822.3479886
South Asia,SAS,GDP per capita (current US$),2149.821595
Saudi Arabia,SAU,GDP per capita (current US$),23185.87079
Sudan,SDN,GDP per capita (current US$),751.8213501
Senegal,SEN,GDP per capita (current US$),1636.893209
Singapore,SGP,GDP per capita (current US$),72794.00302
Solomon Islands,SLB,GDP per capita (current US$),2304.844567
Sierra Leone,SLE,GDP per capita (current US$),480.0392113
El Salvador,SLV,GDP per capita (current US$),4551.184661
